1|001001001|Cultivo de banano y platano
1|001001002|Cultivo de cafe (cereza, sin tostar, no descafeinado- incluye pilado-)
1|001001003|Cultivo de cacao (en grano, crudo o tostado)
1|002001001|Cultivo de trigo
1|002001002|Cultivo de maiz suave
1|002001003|Cultivo de maiz duro
1|002001004|Cultivo de arroz con cascara (no incluye pilado)
1|002001005|Cultivo de cebada
1|002001006|Cultivo de avena
1|002001009|Cultivo de otros cereales n.c.p.
1|003001001|Cultivo de rosas
1|003001002|Cultivo de gypsophilas
1|003001003|Cultivo de claveles
1|003001004|Cultivos de otras flores
1|003001005|Elaboracion de ramilletes, coronas, arreglos florales y articulos similares
1|004001001|Cultivo de papa
1|004001002|Cultivo de yuca
1|004001003|Cultivo de otros tuberculos y raices
1|004001004|Cultivo de Brocoli
1|004001005|Cultivo de lechuga
1|004001006|Cultivo de tomate
1|004001007|Cultivo de frejol
1|004001008|Cultivo de haba
1|004001009|Cultivo de arveja
1|004001010|Cultivo de lenteja
1|004001011|cultivo de cebolla blanca y colorada
1|004001012|Cultivo de sandia
1|004001013|Cultivo de pimiento
1|004001014|Cultivo de otros vegetales y melones n.c.p.
1|004001015|cultivo de aguacate
1|004001016|Cultivo de mango
1|004001017|Cultivo de papaya
1|004001018|Cultivo de pina
1|004001019|Cultivo de tomate de arbol
1|004001020|Cultivo de maracuya
1|004001021|Cultivo de mora
1|004001022|Cultivo de manzana
1|004001023|Cultivo de frutas citricas
1|004001029|Cultivo de otras frutas n.c.p
1|004002001|Cultivo de palma africana
1|004002002|Cultivo de soya
1|004002003|Cultivo de mani
1|004002006|Cultivo de otras oleaginosas n.c.p.
1|004002007|Cultivo de cana de azucar
1|004002008|Cultivo de tabaco en rama
1|004002009|Cultivo de algodon en rama
1|004002010|Cultivo de abaca
1|004002011|Cultivo de pasto y plantas forrajeras
1|004002019|Cultivo de otros productos agricolas n.c.p.
1|004003001|Servicios relacionados con la agricultura
2|005001001|Cria de ganado vacuno
2|005001002|Cria de ovejas y cabras
2|005001003|Cria de caballos y otros equinos
2|005001004|Cria de cerdos
2|005001005|Cria de conejos y cuyes
2|005001006|Cria de pollos (incluye gallinas)
2|005001007|Cria de otras aves de corral
2|005001008|Cria de otros animales vivos
2|005001009|Produccion de leche cruda o fresca de cualquier tipo
2|005001010|Produccion de huevos
2|005001011|Produccion de otros productos comestibles de animales
2|005001012|Produccion de lana
2|005001019|Produccion de otros productos de animales ncp
3|006001001|Extraccion de madera
3|006001002|Recoleccion de productos forestales diferentes a la madera
3|006001009|Servicios de apoyo a la silvicultura
4|007001001|Acuicultura y pesca de camaron
4|008001001|Pesca de atun
4|008001002|Pesca comercial excepto atun
4|008001003|Pesca de otros productos acuaticos ncp
4|008002001|Cria de tilapia
4|008002002|Cria de otros productos acuaticos ncp
4|008003001|Servicios relacionados con pesca
5|009001001|Extraccion de petroleo y gas natural
5|009002001|Actividades de apoyo a la extraccion de petroleo y gas natural
6|010001001|Explotacion de minerales de metales preciosos
6|010001002|Explotacion de minerales de cobre y sus concentrados
6|010001003|Explotacion de otros minerales metaliferos
6|010002001|Extraccion de piedra, arena y arcilla
6|010002002|Explotacion de otras minas y canteras ncp
6|010003001|Servicios relacionados con la mineria (excepto petroleo)
7|011001001|Produccion, procesamiento y conservacion de carne y productos carnicos
7|012001001|Elaboracion y conservacion de camaron
7|013001001|Elaboracion de pescado y otros productos acuaticos elaborados excepto harina de pescado
7|013001002|Produccion de harina de pescado comestible
7|013002001|Elaboracion de conservas de atun
7|013002002|Elaboracion de conservas de otras especies acuaticas
7|014001001|Elaboracion de aceites y grasas origen vegetal y animal
7|015001001|Elaboracion de leche fresca liquida
7|015001002|Elaboracion de otros productos lacteos
7|016001001|Produccion de arroz (pilado, blanqueado y pulido)
7|016001002|Produccion de harinas vegetales, semolas, almidones y otros productos: glucosa (dextrosa) y jarabe de glucosa, fructosa y otros jarabes del azucar
7|016001003|Elaboracion de almidones y productos elaborados de almidon
7|016002001|Elaboracion de productos de la panaderia y pasteleria
7|016003001|Elaboracion de fideos, pastas de fideo y otros productos
7|017001001|Elaboracion y refinacion de azucar
7|018001001|Elaboracion de cacao, chocolate y productos confiteria
7|019001001|Elaboracion de alimento para animales
7|019002001|Elaboracion de cafe
7|019003001|Elaboracion de otros productos alimenticios diversos
7|020001001|Elaboracion de cerveza y bebidas de malta
7|020001009|Elaboracion de otras bebidas alcoholicas
7|020002001|Elaboracion bebidas no alcoholicas
7|020003001|Elaboracion de productos de tabaco
8|021001001|Fabricacion de hilos, hilados; tejidos y confecciones
8|021002001|Fabricacion de prendas de vestir y tejidos de ganchillo(incluso de cuero y piel)
8|021003001|Curtido y adobo de cueros; adobo y tenido de pieles
8|021003002|Fabricacion de maletas, bolsos de mano y articulos de talabarteria y guarnicioneria
8|021003003|Fabricacion de calzado de cualquier material
9|022001001|Aserraderos y cepilladura de madera
9|022001002|Fabricacion de hojas de madera para enchapado y paneles a base de madera
9|022001003|Fabricacion de partes y piezas de carpinteria para edificios y construcciones
9|022001009|Elaboracion de recipientes de madera y de otros productos de madera; fabricacion de articulos de corcho, paja y materiales trenzables
10|023001001|Fabricacion de papel y productos de papel
10|023001002|Actividades de impresion y reproduccion de grabaciones
11|024001001|Fabricacion de productos refinados de petroleo y de otros productos
12|025001001|Fabricacion de abonos; fabricacion de pesticidas y de otros productos quimicos de uso agropecuario
12|025001002|Fabricacion de sustancias quimicas basicas, excepto abonos y plaguicidas; plasticos y cauchos primarios
12|025002001|Fabricacion de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas
12|025002002|Fabricacion de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador
12|025002003|Fabricacion de productos farmaceuticos, sustancias quimicas medicinales y de productos botanicos
12|025002009|Fabricacion de otros productos quimicos ncp
12|026001001|Fabricacion de productos de caucho
12|026002001|Fabricacion de productos de plastico
13|027001001|Fabricacion de vidrio y productos de vidrio
13|027001002|Fabricacion de productos de ceramica y porcelana; productos refractarios
13|027002001|Fabricacion de cemento, cal y yeso; y fabricacion de articulos de hormigon, cemento y yeso
13|027002009|Fabricacion de otros productos minerales no metalicos ncp
13|028001001|Industrias basicas de hierro y acero basicos
13|028001002|Fabricacion de productos de metales preciosos (excepto joyas)
13|028001009|Fabricacion de productos de otros metales (excepto preciosos)
13|028002001|Fabricacion de productos metalicos para uso estructural
13|028002009|Fabricacion de otros productos de metal ncp
14|029001001|Fabricacion de los productos informaticos, electronicos y opticos
14|029001002|Fabricacion de aparatos de uso domestico
14|029001003|Fabricacion de equipo electrico (excepto de uso domestico)
14|029001004|Fabricacion de equipo de oficina (excepto computadoras)
14|029001005|Fabricacion de maquinaria y equipo ncp
14|030001001|Fabricacion de vehiculos automotores
14|030001002|Fabricacion de otros tipos de equipo de transporte
14|031001001|Fabricacion de muebles de cualquier material
14|032001001|Fabricacion de joyas y articulos conexos
14|032001002|Fabricacion de instrumentos musicales
14|032001003|Fabricacion de articulos de deporte
14|032001004|Fabricacion de juegos y juguetes
14|032001005|Fabricacion de instrumentos y suministros medicos y dentales
14|032001009|Otras industrias manufactureras ncp
14|032001010|Servicios de reparacion e instalacion de maquinaria y equipo
15|033001001|Generacion, captacion y distribucion de energia electrica
15|033002001|Captacion, depuracion y distribucion de agua y saneamiento
16|034001001|Construccion de edificios
16|034001002|Ingenieria civil
16|034001003|Actividades especializadas de la construccion
17|035001001|Comercio vehiculos automotores y motocicletas
17|035001002|Comercio de partes, piezas y accesorios de vehiculos automotores y motocicletas
17|035002001|Comercio al por menor de alimentos (incluye productos agricolas e industrializados)
17|035002002|Comercio al por menor de bebidas y tabaco
17|035002003|Comercio al por menor de prendas de vestir (boutique)
17|035002004|Comercio al por menor de calzado
17|035002005|Comercio al por menor de combustibles y lubricantes (gasolineras y distribucion de gas)
17|035002006|Comercio al por menor de libros, periodicos, revistas y articulos de papeleria
17|035002007|Comercio al por menor de productos farmaceuticos (farmacias)
17|035002008|Comercio al por menor de fertilizantes, plaguicidas y fungicidas
17|035002009|Comercio al por menor de ferreteria
17|035002010|Comercio al por menor de electrodomesticos
17|035002011|Comercio al por menor de equipos de computacion
17|035002012|Comercio al por menor de equipos medicos
17|035002013|Comercio al por menor de muebles en general (excluye muebles para uso medico)
17|035002019|Comercio al por menor de otros productos n.c.p.
17|035003001|Comercio al por mayor de banano y platano
17|035003002|Comercio al por mayor de cafe (cereza y cafe pilado)
17|035003003|Comercio al por mayor de cacao en grano
17|035003004|Comercio al por mayor de cereales
17|035003005|Comercio al por mayor de flores
17|035003006|Comercio al por mayor de otros productos agricolas
17|035003007|Comercio al por mayor de animales vivos y sus productos
17|035003008|Comercio al por mayor de camaron, pescado y productos de la acuicultura (fresco o refrigerado)
17|035003009|Comercio al por mayor de madera sin elaborar
17|035003010|Comercio al por mayor de productos carnicos
17|035003011|Comercio al por mayor de camaron congelado, otros procesos y exportacion
17|035003012|Comercio al por mayor de pescado congelado, seco y salado y otros productos de la pesca y acuicultura y conservas de productos acuaticos
17|035003013|Comercio al por mayor de harina de pescado
17|035003014|Comercio al por mayor de aceites y grasas de origen vegetal y animal
17|035003015|Comercio al por mayor de leche procesada y productos lacteos
17|035003016|Comercio al por mayor de productos de molineria, panaderia, fideos y pastas
17|035003017|Comercio al por mayor de azucar y sus productos
17|035003018|Comercio al por mayor de productos de cacao elaborado y productos de confiteria
